blinded_case_id,sample_bucket,assertion_id,gene,variant_identifier,baseline_condition_label,followup_condition_label,domain,CAB_regime,CAB_routing_action,reason_code,evidence_fields_shown_to_adjudicator,condition_label_drift,cross_environment_drift,semantic_drift_without_reclassification,conservative_composite_non_portability,identity_vs_meaning_discordance,recommended_adjudication_question,expected_expert_decision_category,endpoint_status_hidden_shown_flag
CABCASE_3DF93B4A26,CAB contextual repair,CANCER_460779,CHEK2,CANCER_460779,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_94017BFEF2,CAB contextual repair,CANCER_490732,ATM,CANCER_490732,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,population_penetrance_review,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",conditional_liability_or_PRF_needed,hidden_blinded_version
CABCASE_D95794C033,CAB contextual repair,CANCER_1073846,PALB2,CANCER_1073846,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_A38BF4E7B1,CAB contextual repair,CANCER_646046,ATM,CANCER_646046,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_E2938C131D,CAB contextual repair,CANCER_1471596,CHEK2,CANCER_1471596,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_5CEF365AAD,CAB contextual repair,CANCER_231147,PALB2,CANCER_231147,,[hidden_for_adjudication],hereditary_cancer,nonspecific_underresolved,population_penetrance_review,broad or unknown phenotype/environment label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",conditional_liability_or_PRF_needed,hidden_blinded_version
CABCASE_50EF300620,CAB contextual repair,CANCER_830653,CHEK2,CANCER_830653,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_4B0BED0CC9,CAB contextual repair,CANCER_482019,PALB2,CANCER_482019,,[hidden_for_adjudication],hereditary_cancer,nonspecific_underresolved,direct_use,broad or unknown phenotype/environment label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_79B9D99D9B,CAB contextual repair,CANCER_825116,MUTYH,CANCER_825116,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,contextual_repair,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",requires_contextual_repair_before_reuse,hidden_blinded_version
CABCASE_EF96F15649,CAB contextual repair,CANCER_665014,CHEK2,CANCER_665014,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_7F0DB89974,CAB contextual repair,CANCER_484222,PALB2,CANCER_484222,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_442B7A9C9F,CAB contextual repair,CANCER_955562,CHEK2,CANCER_955562,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_F2F0A5BA55,CAB contextual repair,ARR_1675066,HCN4,ARR_1675066,,[hidden_for_adjudication],inherited_arrhythmia,nonspecific_underresolved,contextual_repair,broad or unknown phenotype/environment label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",requires_contextual_repair_before_reuse,hidden_blinded_version
CABCASE_0F6257FD1C,CAB contextual repair,CANCER_962266,ATM,CANCER_962266,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_58C4F691F0,CAB contextual repair,CANCER_1367303,ATM,CANCER_1367303,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_226730230F,CAB contextual repair,CANCER_530172,CHEK2,CANCER_530172,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_4A05305207,CAB contextual repair,CANCER_231919,PALB2,CANCER_231919,,[hidden_for_adjudication],hereditary_cancer,nonspecific_underresolved,direct_use,broad or unknown phenotype/environment label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_11B7F45A29,CAB contextual repair,CANCER_1409242,PALB2,CANCER_1409242,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_8DDE487000,CAB contextual repair,CANCER_187643,CHEK2,CANCER_187643,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_56FBF83F75,CAB contextual repair,CANCER_662943,PALB2,CANCER_662943,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_053B7251AE,CAB contextual repair,CANCER_1068607,CHEK2,CANCER_1068607,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_D95CD71EC1,CAB contextual repair,CANCER_230176,PALB2,CANCER_230176,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_32884D8A58,CAB contextual repair,CANCER_487411,PALB2,CANCER_487411,,[hidden_for_adjudication],hereditary_cancer,nonspecific_underresolved,direct_use,broad or unknown phenotype/environment label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_C1CA520F01,CAB contextual repair,ARR_1742024,KCNH2,ARR_1742024,,[hidden_for_adjudication],inherited_arrhythmia,syndrome_organ_boundary,contextual_repair,syndrome/developmental label crosses organ boundary,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",requires_contextual_repair_before_reuse,hidden_blinded_version
CABCASE_76971F48E7,CAB contextual repair,CANCER_660416,ATM,CANCER_660416,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_1AFAED86BA,CAB contextual repair,CANCER_545769,PALB2,CANCER_545769,,[hidden_for_adjudication],hereditary_cancer,nonspecific_underresolved,direct_use,broad or unknown phenotype/environment label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_A2855DD758,CAB contextual repair,CANCER_843704,ATM,CANCER_843704,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_D59BC27358,CAB contextual repair,CANCER_1255697,PALB2,CANCER_1255697,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_6DE2893EE1,CAB contextual repair,ARR_917819,KCNH2,ARR_917819,,[hidden_for_adjudication],inherited_arrhythmia,syndrome_organ_boundary,contextual_repair,syndrome/developmental label crosses organ boundary,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",requires_contextual_repair_before_reuse,hidden_blinded_version
CABCASE_5FCFB4D4FA,CAB contextual repair,CANCER_530187,CHEK2,CANCER_530187,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_C922AF7602,CAB contextual repair,CANCER_956282,PALB2,CANCER_956282,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_6692AC527F,CAB contextual repair,CANCER_182739,PALB2,CANCER_182739,,[hidden_for_adjudication],hereditary_cancer,nonspecific_underresolved,direct_use,broad or unknown phenotype/environment label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_C1559883C5,CAB contextual repair,CANCER_929442,ATM,CANCER_929442,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,direct_use,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",portable_direct_use_if_expert_confirms_same_disease_model,hidden_blinded_version
CABCASE_4E6A4F4234,CAB contextual repair,ARR_408869,CASQ2,ARR_408869,,[hidden_for_adjudication],inherited_arrhythmia,nonspecific_underresolved,contextual_repair,broad or unknown phenotype/environment label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",requires_contextual_repair_before_reuse,hidden_blinded_version
CABCASE_8F07D666F6,disease-specific review,CANCER_1763130,ATM,CANCER_1763130,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,population_penetrance_review,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",conditional_liability_or_PRF_needed,hidden_blinded_version
CABCASE_6B02BA9607,disease-specific review,CANCER_51821,BRCA2,CANCER_51821,,[hidden_for_adjudication],hereditary_cancer,nonspecific_underresolved,disease_specific_review,broad or unknown phenotype/environment label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",requires_disease_specific_expert_review,hidden_blinded_version
CABCASE_1DD981B979,disease-specific review,ARR_568135,RYR2,ARR_568135,,[hidden_for_adjudication],inherited_arrhythmia,nonspecific_underresolved,disease_specific_review,broad or unknown phenotype/environment label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",requires_disease_specific_expert_review,hidden_blinded_version
CABCASE_6094DEAB38,disease-specific review,CM_31882,TPM1,CM_31882,,[hidden_for_adjudication],cardiomyopathy,nonspecific_underresolved,disease_specific_review,broad or unknown phenotype/environment label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",requires_disease_specific_expert_review,hidden_blinded_version
CABCASE_1EB3A577D7,disease-specific review,CANCER_1754185,MSH2,CANCER_1754185,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,disease_specific_review,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",requires_disease_specific_expert_review,hidden_blinded_version
CABCASE_028C849C01,disease-specific review,CANCER_38228,BRCA2,CANCER_38228,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,disease_specific_review,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",requires_disease_specific_expert_review,hidden_blinded_version
CABCASE_81C3197827,disease-specific review,CANCER_37396,BRCA1,CANCER_37396,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,disease_specific_review,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",requires_disease_specific_expert_review,hidden_blinded_version
CABCASE_C25D3AB4EC,disease-specific review,CANCER_632696,BRCA2,CANCER_632696,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,disease_specific_review,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",requires_disease_specific_expert_review,hidden_blinded_version
CABCASE_087A7CC376,disease-specific review,CANCER_51850,BRCA2,CANCER_51850,,[hidden_for_adjudication],hereditary_cancer,nonspecific_underresolved,disease_specific_review,broad or unknown phenotype/environment label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",requires_disease_specific_expert_review,hidden_blinded_version
CABCASE_21BCE1EAAA,disease-specific review,CANCER_51220,BRCA2,CANCER_51220,,[hidden_for_adjudication],hereditary_cancer,nonspecific_underresolved,disease_specific_review,broad or unknown phenotype/environment label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",requires_disease_specific_expert_review,hidden_blinded_version
CABCASE_1882D23B57,disease-specific review,CANCER_267099,BRCA2,CANCER_267099,,[hidden_for_adjudication],hereditary_cancer,modifier_penetrance_boundary,disease_specific_review,risk/penetrance-oriented domain or label,gene|variant_identifier|baseline_condition_label|domain|CAB_regime|CAB_routing_action|reason_code|classification|review_status|submitter_count,[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],[hidden_for_adjudication],"Can this source-valid P/LP assertion be reused as deterministic disease meaning in the target context, or does it require contextual repair, disease-specific review, or PRF framing?",requires_disease_specific_expert_review,hidden_blinded_version
